MeshID	DrugBankIDs
MESH:C514925	DB03716
MESH:C110536	DB03008
MESH:C026927	DB03314
MESH:C001943	DB01629
MESH:C004805	DB03725
MESH:C008046	DB12298
MESH:D006916	DB02959
MESH:C100417	DB04781
MESH:C000604876	DB13103
MESH:C011288	DB13776
MESH:C034214	DB04604
MESH:C048747	DB03554
MESH:C033696	DB01441
MESH:D000078223	DB12216
MESH:C551257	DB03177
MESH:C008426	DB01995
MESH:C005984	DB04789|DB11256
MESH:C008500	DB02282
MESH:C530840	DB04534
MESH:C047645	DB05494
MESH:C071538	DB03376
MESH:C400347	DB04051
MESH:C067854	DB12606
MESH:C499823	DB13105
MESH:C578443	DB12457
MESH:C000589391	DB12121
MESH:C558595	DB06518
MESH:C524268	DB05234
MESH:C471843	DB04751
MESH:C571532	DB11765
MESH:C549469	DB12137
MESH:C561238	DB12900
MESH:C575086	DB11824
MESH:C052026	DB05173
MESH:C572323	DB11953
MESH:C559489	DB05678
MESH:C543534	DB12270
MESH:C547925	DB06314
MESH:C053389	DB11620
MESH:C011569	DB03718
MESH:C483321	DB03444
MESH:C000598571	DB12721
MESH:C014896	DB12111
MESH:C550547	DB13978
MESH:C521963	DB12359
MESH:C034277	DB04070
MESH:C037904	DB03773
MESH:C000596095	DB12733
MESH:C000589289	DB12830
MESH:C067626	DB04334
MESH:C052277	DB02654
MESH:C492818	DB02119
MESH:C013044	DB03197
MESH:C050574	DB12952
MESH:C016588	DB02113
MESH:C104292	DB03100
MESH:C515129	DB08089
MESH:C008884	DB02076
MESH:C507018	DB12238
MESH:C549566	DB12174
MESH:C000591008	DB15033
MESH:C012153	DB08550
MESH:C017226	DB04400
MESH:C000976	DB04425
MESH:C001559	DB04345
MESH:C061517	DB01978
MESH:C014320	DB14107
MESH:C415151	DB12234
MESH:C000624711	DB03074
MESH:C066856	DB02245
MESH:C054852	DB01933
MESH:C001502	DB02274
MESH:C016578	DB03493
MESH:C111106	DB01960
MESH:C426424	DB12633
MESH:C080122	DB02207
MESH:D015126	DB00154
MESH:C080436	DB04909
MESH:C018221	DB01875
MESH:C549545	DB12782
MESH:C044258	DB13046
MESH:C030093	DB14132
MESH:C587012	DB12225
MESH:C581236	DB11936
MESH:D000080242	DB02502
MESH:C059499	DB08843
MESH:C080125	DB12515
MESH:C041014	DB03369
MESH:C535233	DB13937
MESH:C076777	DB04356
MESH:C580787	DB04095
MESH:C048839	DB02796
MESH:C010958	DB11522
MESH:C526550	DB12638
MESH:C116701	DB02489
MESH:C119874	DB02804
MESH:C106538	DB01048
MESH:C534167	DB06395
MESH:C000596789	DB05084
MESH:C423508	DB00106
MESH:C000590451	DB12001
MESH:C023708	DB02590
MESH:C094104	DB06662
MESH:C512352	DB12565
MESH:C089740	DB05812
MESH:C000630672	DB15327
MESH:C000634427	DB14973
MESH:C000625346	DB15156
MESH:C586094	DB09296
MESH:C588260	DB09183
MESH:C515232	DB08044
MESH:C585405	DB09297
MESH:C000612853	DB13879
MESH:C529258	DB13935
MESH:C542786	DB05230
MESH:C400245	DB12882
MESH:C011651	DB04944
MESH:C000604908	DB11703
MESH:D000077443	DB00659
MESH:D020909	DB00284
MESH:C000625351	DB15385
MESH:D000070	DB01193
MESH:C084650	DB13262
MESH:C056498	DB06736
MESH:C521214	DB08926
MESH:C023730	DB04500
MESH:C019140	DB13573
MESH:C032007	DB04167
MESH:C026784	DB13783
MESH:D000074	DB01418
MESH:D000075	DB01614
MESH:C021280	DB01615
MESH:C030686	DB02736
MESH:D000082	DB00316
MESH:C005284	DB13268
MESH:D000086	DB00819
MESH:D019342	DB03166
MESH:C016635	DB01762
MESH:C010667	DB03059
MESH:D000092	DB00414
MESH:C006358	DB00551
MESH:C010833	DB02203
MESH:C100162	DB01063
MESH:C038699	DB04619
MESH:C056165	DB12618
MESH:D000100	DB09347
MESH:C006368	DB02713
MESH:C431566	DB06699
MESH:D000108	DB08842
MESH:C081124	DB14623
MESH:D000109	DB03128
MESH:D000111	DB06151|DB14479
MESH:D000112	DB00511
MESH:C081895	DB12291
MESH:D000117	DB00141
MESH:C013384	DB13640
MESH:C088117	DB13226
MESH:C063261	DB07558
MESH:C005387	DB14033
MESH:C018425	DB07338
MESH:C027696	DB09055
MESH:D017255	DB00459
MESH:D015250	DB11617
MESH:C000629415	DB12631
MESH:C043648	DB09488
MESH:C036658	DB02579
MESH:C000619473	DB13054
MESH:C058956	DB12996
MESH:C028238	DB13298
MESH:D000186	DB12860
MESH:C010531	DB04310
MESH:D000212	DB00787
MESH:C109238	DB11906
MESH:C000629483	DB14906
MESH:D000218	DB03627
MESH:C001862	DB02125
MESH:D000068816	DB00210
MESH:C549567	DB11740
MESH:C460839	DB05006
MESH:C053001	DB13868
MESH:C106812	DB00718
MESH:D000225	DB00173
MESH:D000241	DB00640
MESH:C022571	DB02930
MESH:D000249	DB00131
MESH:C511914	DB02607
MESH:D000250	DB03708
MESH:D000255	DB00171
MESH:C043846	DB01792
MESH:C039668	DB00546
MESH:C568848	DB06579
MESH:D000080044	DB05773
MESH:C022116	DB08925
MESH:C040224	DB13394
MESH:D000324	DB01285
MESH:C512972	DB05322
MESH:C489254	DB12558
MESH:C498209	DB06184
MESH:C472668	DB05874
MESH:C472547	DB04391
MESH:C000657127	DB15268
MESH:D000077716	DB08916
MESH:C016601	DB04468
MESH:C000593263	DB11648
MESH:C000592236	DB15094
MESH:D000376	DB08838
MESH:C532272	DB13135
MESH:C513936	DB04998
MESH:C522040	DB05842
MESH:C031143	DB01700
MESH:D000404	DB01426
MESH:C471849	DB12193
MESH:C406794	DB12497
MESH:D000409	DB00160
MESH:C000082	DB05540
MESH:C054122	DB11876
MESH:C025293	DB13233
MESH:C106856	DB09335
MESH:C112424	DB12073
MESH:D015766	DB00518
MESH:C027186	DB13871
MESH:C531108	DB05396
MESH:C000629490	DB12950
MESH:D000420	DB01001
MESH:C000618231	DB13884
MESH:C573334	DB15166
MESH:C557708	DB06766
MESH:C084615	DB13167
MESH:D000443	DB13648
MESH:C082598	DB00041
MESH:D000450	DB04630
MESH:C582670	DB11363
MESH:C542437	DB08915
MESH:D019386	DB00630
MESH:C090058	DB05800
MESH:C008088	DB01436
MESH:D015760	DB00802
MESH:C005681	DB13780
MESH:C047638	DB00346
MESH:D000464	DB13372
MESH:D000077322	DB13518
MESH:C089753	DB06224
MESH:C446481	DB09026
MESH:C499715	DB12139
MESH:D000077556	DB00523
MESH:C033968	DB01425
MESH:D000481	DB11100
MESH:C006452	DB11780
MESH:C084828	DB13577
MESH:C006457	DB15477
MESH:C001970	DB04116
MESH:D000493	DB00437
MESH:C054851	DB04628
MESH:C442377	DB04404
MESH:D000500	DB01431
MESH:C006470	DB01352
MESH:C027953	DB13314
MESH:D015765	DB01430
MESH:C519150	DB06673
MESH:C409045	DB00918
MESH:C520853	DB06203
MESH:C012712	DB13650
MESH:C090840	DB00969
MESH:C002854	DB06198
MESH:C010843	DB13509
MESH:C585539	DB12015
MESH:C568831	DB09184
MESH:C012223	DB04454
MESH:C009845	DB03134
